Name,Designator,Footprint,Quantity,Supplier,Supplier Part
150,"R2,R3,R4,R5,R6,R7,R8,R9",RTH025W,8,Digi-Key,CF14JT150R
10uF,C1,CAP-6.3*12,1,Digi-Key,399-18279-1-ND
Raspberry Pi Pico,U1,RASPBERRY PI PICO FOOTPRINT,1,Digi-Key,2648-SC0915CT-ND
74HC595N,"U3,U2",DIP16-2.54-20.32X5.84MM,2,Digi-Key,296-1600-5-ND
TBD62381APG,U5,DIP-18_L22.9-W6.4-P2.54-LS7.6-BL,1,Digi-Key,TBD62381APG-ND
LTD-4708JR,"U6,U7,U8,U9",LTD-4708JR,4,Digi-Key,160-1539-5-ND
100nF,"C2,C3,C4,C5",CERAMIC-2.54,4,Digi-Key,BC1084CT-ND
1N4001,D1,DO-41_BD2.4-L4.7-P8.70-D0.9-RD,1,Digi-Key,641-1310-1-ND
SBH11-PBPC-D13-RA-BK,P1,SBH11-PBPC-D13-RA-BK,1,Digi-Key,S9181-ND
10k,R1,RTH025W,1,Digi-Key,CF14JT10K0
TBD62785APG,U4,DIP-18_L23.0-W6.5-P2.54-LS7.6-BL,1,Digi-Key,TBD62785APG-ND
Rotary,SW1,ALPS_EC12E_SW,1,Digi-Key,987-1195-ND
TS-1095-A2B2-D1,RESET,SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,1,Digi-Key,2223-TS02-66-70-BK-160-LCR-D-ND
